filepath, filename, statement coverage %, total statements, branch coverage %, total branches
./text-utils/rev.gcda, 'text-utils/rev.c', 68.49, 73, 90.91, 33
./text-utils/rev.gcda, 'include/closestream.h', 55.00, 20, 70.00, 20
./text-utils/rev.gcda, 'include/xalloc.h', 80.00, 10, 100.00, 4
directory, /home/ubuntu/configuration-fuzzer/afl-targets/util-linux
total_no_of_statements, 103
total_statement_coverage_%, 67.83%
total_no_of_branches, 57
total_branch_coverage_%, 86.97%
